rank,client_id,content_id,ml_score_safe,priority,reason_code,recommended_action,days_since_last_update,search_volume
38,client_8527a891e2,content_d12432b0eab6,0.8625079620810497,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
39,client_4e07408562,content_5d8cc9246c52,0.8623709388870747,P2,HIGH_PRIORITY_REVIEW,Human Review - Investigate Content Relevance/Decay,104,1900.0
40,client_4e07408562,content_bcc95460460e,0.8621324527220036,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
41,client_4e07408562,content_569475b335ab,0.8603901729616323,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
42,client_8527a891e2,content_9154bca5c190,0.8590712335563311,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
43,client_8527a891e2,content_542e00af2a40,0.855124663903678,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,10.0
44,client_e629fa6598,content_a0744f34c5d8,0.8532475406712282,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,20.0
45,client_4e07408562,content_4336310eb7f3,0.8526742588305722,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
46,client_f369cb89fc,content_6ac3ab740bbf,0.8504257618984222,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,106,0.0
47,client_8527a891e2,content_e5a9e727df95,0.8489687411663485,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
48,client_8527a891e2,content_e0720ca9366c,0.8481019130400763,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
49,client_8527a891e2,content_20d5286b9afa,0.8481019130400763,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
50,client_8527a891e2,content_43756d6227dd,0.8481019130400763,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
51,client_f369cb89fc,content_94feac677ec4,0.8470884335583435,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,106,0.0
52,client_8527a891e2,content_25ff6043653f,0.8465511330585014,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,98,0.0
53,client_8527a891e2,content_3b53d042f230,0.8465511330585014,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,98,0.0
54,client_e629fa6598,content_19d8ec05394d,0.845326210010076,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
55,client_f369cb89fc,content_a5dbb404bdc2,0.8448353938976946,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,106,0.0
56,client_8527a891e2,content_3ff02328d611,0.8438533839177748,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
57,client_8527a891e2,content_12f4cdf36d45,0.8438533839177748,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
58,client_8527a891e2,content_0b47dae0c7f9,0.842098014963089,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,20.0
59,client_8527a891e2,content_3147d7f0b301,0.8420952006264951,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,170.0
60,client_8527a891e2,content_7df9caffac62,0.8411572004577309,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
61,client_8527a891e2,content_0e57843e6749,0.8405786755449717,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
62,client_8527a891e2,content_a662ef2af9b4,0.8405356291903301,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
63,client_8527a891e2,content_c6cffac60462,0.8405356291903301,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
64,client_8527a891e2,content_f6a8bb38f970,0.8405356291903301,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
65,client_8527a891e2,content_1d4d78ba6371,0.8394701615810863,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
66,client_8527a891e2,content_62ece016c9d8,0.8394008786484568,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,20.0
67,client_8527a891e2,content_96fa31b9f575,0.8393682463903205,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
68,client_8527a891e2,content_dea0d86223f3,0.8393682463903205,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
69,client_8527a891e2,content_bfaae780ea05,0.8393682463903205,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,98,0.0
70,client_8527a891e2,content_b2a6bd1b302a,0.8393682463903205,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
71,client_8527a891e2,content_b7553fdf4ef1,0.8393682463903205,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,98,0.0
72,client_4e07408562,content_02e093500039,0.838370328861267,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,90.0
73,client_8527a891e2,content_ade4f6189920,0.8383406819507981,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
74,client_4e07408562,content_873621db1cd6,0.8381441404244693,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
75,client_8527a891e2,content_9e3b6a5b09fd,0.8380314859257184,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
76,client_8527a891e2,content_b69b7a7bebd1,0.8380314859257184,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
77,client_8527a891e2,content_572cf2566ada,0.8380314859257184,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
78,client_8527a891e2,content_fc980d6e8f57,0.8380314859257184,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,0.0
79,client_8527a891e2,content_647f7e8b6a61,0.8380314859257184,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
80,client_8527a891e2,content_5ac91b2d8b38,0.8380314859257184,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
81,client_8527a891e2,content_729cc06d3477,0.8378901317172557,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,98,480.0
82,client_4e07408562,content_b9b230d52cfa,0.8376235278754715,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
83,client_8527a891e2,content_98aa0aecb1d9,0.8375073486174647,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
84,client_4e07408562,content_6fedd340cb01,0.8370768967304478,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
85,client_4e07408562,content_b53fc679e367,0.8370768967304478,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
86,client_8527a891e2,content_956e9b861c22,0.8370768967304478,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
87,client_8527a891e2,content_7e24f3b27d73,0.8370768967304478,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
88,client_8527a891e2,content_0b5ca97c254f,0.8370768967304478,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
89,client_4e07408562,content_9e4a65fb4867,0.8370768967304478,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
90,client_8527a891e2,content_2ba626fea4d6,0.8370549676650838,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
91,client_4e07408562,content_55139d0defae,0.8370549676650838,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
92,client_8527a891e2,content_01e6f180a032,0.8364807059441435,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
93,client_4e07408562,content_22f275f49f44,0.8362964627171304,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
94,client_4e07408562,content_36ddf695beb7,0.8361903986152253,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
95,client_4e07408562,content_24d8b73697f6,0.8361621571640387,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
96,client_4e07408562,content_6677fd6c4ea5,0.8359241941857636,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
97,client_4e07408562,content_bb1edbf0ba6c,0.8351110394533054,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,20.0
98,client_f369cb89fc,content_26d48a980581,0.8348918618972799,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,106,0.0
99,client_4e07408562,content_be9b91f81ef5,0.8345899305956676,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,30.0
100,client_8527a891e2,content_500d7264d930,0.8345313739897467,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,390.0
101,client_8527a891e2,content_a44f5dd132bb,0.8341774495429871,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
102,client_8527a891e2,content_765d5a7d6ef2,0.8335499685492858,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
103,client_8527a891e2,content_47ad75f6e937,0.8335499685492858,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
104,client_8527a891e2,content_4ea3cf14c32f,0.8333631695839074,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
105,client_4e07408562,content_e34f363dbf39,0.8329436835362202,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
106,client_8527a891e2,content_d800cce05023,0.8328593105621878,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
107,client_8527a891e2,content_b658db887566,0.8328593105621878,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
108,client_8527a891e2,content_0f256e5b0b88,0.8327414229095291,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
109,client_8527a891e2,content_7766ffacdcfa,0.8327414229095291,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
110,client_4e07408562,content_c22f0bebb1d1,0.832659598764496,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
111,client_8527a891e2,content_a5a2fbc76336,0.8321276298140077,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
112,client_4e07408562,content_f35e5543135b,0.8321276298140077,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
113,client_8527a891e2,content_848adc98b9ce,0.8312369791072974,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
114,client_4e07408562,content_d85f062b576f,0.831104911238037,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
115,client_4e07408562,content_77cef913977c,0.831104911238037,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
116,client_8527a891e2,content_a9826bd63b56,0.831104911238037,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
117,client_8527a891e2,content_0478bd1b2fb4,0.831104911238037,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
118,client_8527a891e2,content_800619815f32,0.831104911238037,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
119,client_8527a891e2,content_dcd0eb6325fa,0.831104911238037,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
120,client_8527a891e2,content_29884c0f9255,0.831104911238037,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,10.0
121,client_8527a891e2,content_f777bcb4fdad,0.8308860211183139,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
122,client_8527a891e2,content_58751944898a,0.8304223934768973,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
123,client_8527a891e2,content_0e32afb161b0,0.8302643593601199,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
124,client_8527a891e2,content_55d970081c8a,0.8297243383159733,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
125,client_8527a891e2,content_676074f0d01d,0.8293396219117588,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
126,client_8527a891e2,content_08366e95bd39,0.8293396219117588,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
127,client_8527a891e2,content_ba260429079f,0.829318269897017,P2,HIGH_PRIORITY_REVIEW,Human Review - Investigate Content Relevance/Decay,92,1900.0
128,client_8527a891e2,content_20b6e6820215,0.8292484793801289,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
129,client_8527a891e2,content_85a09b3e3147,0.8292484793801289,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,10.0
130,client_8527a891e2,content_9ac61c04930e,0.8292484793801289,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
131,client_8527a891e2,content_bc6ff35fa85b,0.8292484793801289,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,10.0
132,client_4e07408562,content_3c334d156819,0.8292484793801289,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
133,client_4e07408562,content_a56a1c89ab0a,0.8289948726294298,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
134,client_8527a891e2,content_1033787c1e0e,0.828726499176396,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,70.0
135,client_8527a891e2,content_2f26cc677aad,0.8286788695905787,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,10.0
136,client_4e07408562,content_2230586bb0c4,0.8286495782812279,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
137,client_8527a891e2,content_9f9167bde500,0.8276927834437581,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
138,client_f369cb89fc,content_c65ee459f729,0.8274902562191034,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,106,0.0
139,client_8527a891e2,content_7e1f78c66a44,0.8272767168785694,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
140,client_e629fa6598,content_ae802e35d9a9,0.8271548362505741,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
141,client_8527a891e2,content_4a078332f41c,0.8262614169676589,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
142,client_4e07408562,content_4fc70e470460,0.8259904464826087,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
143,client_8527a891e2,content_f49660e074e9,0.8259904464826087,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
144,client_8527a891e2,content_f14d1dd58226,0.8259904464826087,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
145,client_8527a891e2,content_9440a40f6f4a,0.8259904464826087,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
146,client_8527a891e2,content_e8baefc221d3,0.8259904464826087,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
147,client_4e07408562,content_c6d2559083f2,0.8259904464826087,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
148,client_8527a891e2,content_02f3c4b06ce9,0.8259904464826087,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,0.0
149,client_8527a891e2,content_32b4e5a2f630,0.8259904464826087,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
150,client_8527a891e2,content_3408f65286e4,0.8254574967515894,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
151,client_4e07408562,content_4beb70d19972,0.8248879071752985,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
152,client_e629fa6598,content_e7af0b1db174,0.8247322745375202,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
153,client_8527a891e2,content_9c5cac171e63,0.8246402924505142,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
154,client_8527a891e2,content_b3e1de4781f5,0.8246402924505142,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
155,client_8527a891e2,content_884c401ce126,0.8246402924505142,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
156,client_8527a891e2,content_41baf0722ad9,0.8240378252667584,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
157,client_f369cb89fc,content_0ea80678706d,0.8239952697011674,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,106,0.0
158,client_f369cb89fc,content_829c68e60d13,0.8239799785107529,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,106,0.0
159,client_4e07408562,content_bbfde34e9284,0.8234944386705544,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
160,client_8527a891e2,content_9cb43a654c9b,0.8233985554649668,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
161,client_4e07408562,content_3672013e1d63,0.822561532366231,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
162,client_8527a891e2,content_5fd6ce0b4236,0.8222304456047117,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,20.0
163,client_4e07408562,content_9739b677eaa5,0.8220395683859372,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
164,client_8527a891e2,content_cc5e82cfe642,0.822002910564951,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
165,client_8527a891e2,content_f4c3734e72bf,0.8209219184431951,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
166,client_4e07408562,content_c79f04785d81,0.8203545613518121,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
167,client_4e07408562,content_a30c32196ac9,0.8202662400185353,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,50.0
168,client_8527a891e2,content_cc088a55deca,0.8197334774406714,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
169,client_8527a891e2,content_5585a0e7089c,0.8197334774406714,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
170,client_8527a891e2,content_ca79acba2440,0.8188983140519904,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
171,client_8527a891e2,content_685d3fea9361,0.8185498039712837,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
172,client_8527a891e2,content_46d1d96a365d,0.8181987784352368,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,70.0
173,client_4e07408562,content_f3f6bdc23b51,0.8178252183590119,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
174,client_8527a891e2,content_4d9f36001f06,0.8178252183590119,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
175,client_8527a891e2,content_8fd245d1965b,0.8178252183590119,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
176,client_8527a891e2,content_0c0fe8411e94,0.8178252183590119,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
177,client_8527a891e2,content_8c4b5fce81d0,0.8178252183590119,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
178,client_8527a891e2,content_797cb8b2c397,0.8178252183590119,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
179,client_e629fa6598,content_f1923a73b444,0.8174328932996069,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
180,client_4e07408562,content_634a50fa7fad,0.8174328932996069,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
181,client_8527a891e2,content_17c2de35424d,0.8170437376383813,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,20.0
182,client_8527a891e2,content_367fe17c5d78,0.8164964009538589,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,70.0
183,client_4e07408562,content_d447a286b0ed,0.816190989853301,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
184,client_8527a891e2,content_3b11268af36e,0.815961822004047,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
185,client_8527a891e2,content_3395aba722a2,0.815961822004047,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
186,client_8527a891e2,content_07645c09399d,0.815961822004047,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
187,client_4e07408562,content_422ea7d8363a,0.815961822004047,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
188,client_8527a891e2,content_a6087b96819d,0.815961822004047,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
189,client_4e07408562,content_b2a61c74b647,0.8158741530029002,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
190,client_8527a891e2,content_db74537c5636,0.8157482731060525,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,20.0
191,client_4e07408562,content_225d4d660659,0.8149390897442806,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
192,client_8527a891e2,content_e09b5602ba42,0.814725778218527,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,20.0
193,client_4e07408562,content_b0d9646900d0,0.814725778218527,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,20.0
